City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,dzuunharaa,48.8523,106.4579,-8.28,96,42,3.85,MN,1709170143
137,lubao,14.9167,120.55,84.27,64,100,12.03,PH,1709170144
138,ust-nera,64.5667,143.2,-18.85,95,55,3.38,RU,1709170145
139,salinas,36.6777,-121.6555,64.0,74,0,10.36,US,1709170132
140,dudinka,69.4058,86.1778,4.68,93,100,8.99,RU,1709170145
141,kodiak,57.79,-152.4072,20.71,49,0,28.77,US,1709170145
142,island harbour,50.724,-1.2758,50.99,95,100,10.0,GB,1709170146
143,beyla,8.6833,-8.6333,76.3,67,100,4.65,GN,1709170146
144,vinh,18.6667,105.6667,68.07,86,84,2.17,VN,1709170147
145,macouria,4.9167,-52.3667,75.15,88,0,2.3,GF,1709170147
146,huilong,31.8111,121.655,46.17,98,100,6.15,CN,1709170147
147,attapeu,14.8,106.8333,78.48,62,4,2.8,LA,1709170147
148,udachny,66.4167,112.4,-14.76,100,97,4.79,RU,1709169939
149,saint-philippe,-21.3585,55.7679,74.79,82,100,10.22,RE,1709170148
150,torghay,49.6339,63.4981,5.72,94,20,2.93,KZ,1709170148
151,hasaki,35.7333,140.8333,46.8,55,100,9.55,JP,1709170148
152,mwinilunga,-11.7358,24.4293,62.53,97,92,3.2,ZM,1709170148
153,isafjordur,66.0755,-23.124,18.41,87,99,4.34,IS,1709170149
154,pingliang,35.5392,106.6861,26.42,74,100,5.12,CN,1709170149
155,talnakh,69.4865,88.3972,4.21,95,100,5.84,RU,1709170150
156,ad dabbah,18.05,30.95,65.5,19,1,10.85,SD,1709169921
157,thompson,55.7435,-97.8558,-14.64,58,0,0.0,CA,1709170150
158,rundu,-17.9333,19.7667,66.24,85,13,1.5,NA,1709170150
159,kristiansund,63.1115,7.732,41.65,60,100,5.75,NO,1709170150
160,paracatu,-17.2222,-46.8747,73.09,64,6,1.86,BR,1709170151
161,ivdel',60.6911,60.4206,27.03,80,100,5.01,RU,1709170152
162,atafu village,-8.5421,-172.5159,84.88,73,9,10.11,TK,1709170152
163,neiafu,-18.65,-173.9833,86.68,79,20,9.22,TO,1709170152
164,tura,25.5198,90.2201,61.39,45,0,2.75,IN,1709170152
165,fort mcmurray,56.7268,-111.381,11.79,40,100,16.11,CA,1709170153
166,iquitos,-3.7481,-73.2472,78.84,83,75,2.3,PE,1709170153
167,khorinsk,52.1657,109.7726,-17.86,93,27,1.3,RU,1709170153
168,hamilton,39.1834,-84.5333,33.44,62,0,11.99,US,1709170002
169,igarka,67.4667,86.5833,-6.72,97,98,5.06,RU,1709170154
170,orsa,54.5153,30.4053,37.35,84,100,11.36,BY,1709170155
171,caleta de carquin,-11.0925,-77.6267,74.32,83,100,10.67,PE,1709170155
172,puerto ayora,-0.7393,-90.3518,80.55,88,98,5.99,EC,1709170155
173,hermanus,-34.4187,19.2345,68.81,69,3,7.85,ZA,1709170156
174,bamboo flat,11.7,92.7167,81.52,70,97,7.78,IN,1709170156
175,arica,-18.475,-70.3042,72.95,73,0,3.44,CL,1709170161
176,constantia,44.1833,28.65,45.7,94,100,7.56,RO,1709170090
177,arteche,12.2645,125.4048,78.94,71,100,12.1,PH,1709170161
178,beyneu,45.3167,55.2,28.06,76,17,8.68,KZ,1709170162
179,coahuayana de hidalgo,18.7,-103.6583,75.11,82,49,4.45,MX,1709170162
180,lihue,21.9789,-159.3672,74.79,72,20,17.27,US,1709169926
181,khovd,48.0056,91.6419,0.16,84,5,0.98,MN,1709170162
182,cutral-co,-38.9469,-69.2089,73.94,18,24,5.86,AR,1709170162
183,margate,51.3813,1.3862,50.9,97,100,11.99,GB,1709170098
184,havre,49.5833,0.3333,50.4,100,100,12.66,FR,1709170163
185,labuan,5.2767,115.2417,86.36,70,20,5.75,MY,1709170163
186,whitehorse,60.7161,-135.0538,5.02,64,75,10.36,CA,1709170041
187,lucapa,-8.4192,20.7447,64.35,94,99,2.17,AO,1709170164
188,pemangkat,1.1667,108.9667,79.65,87,100,7.23,ID,1709170164
189,quellon,-43.1167,-73.6167,52.56,90,15,6.31,CL,1709170164
190,nyaunglebin,17.95,96.7333,75.16,50,1,3.02,MM,1709170119
191,guerrero negro,27.9769,-114.0611,64.26,65,0,13.62,MX,1709170165
192,ilulissat,69.2167,-51.1,8.62,66,100,10.36,GL,1709170165
193,hadibu,12.65,54.0333,77.54,72,99,3.15,YE,1709170165
194,west bay,19.3667,-81.4167,78.87,84,20,9.22,KY,1709170165
195,holualoa,19.6228,-155.9522,75.04,77,40,12.66,US,1709170054
196,kiomboi,-4.2667,34.3667,62.08,96,100,0.25,TZ,1709170166
197,esenyurt,41.0333,28.6753,43.75,87,0,9.22,TR,1709170166
198,bubaque,11.2833,-15.8333,78.44,67,15,20.22,GW,1709170166
199,cole harbour,44.6724,-63.4751,49.39,97,100,15.99,CA,1709170167
200,boda,4.3189,17.4695,76.26,55,13,2.46,CF,1709170167
201,howrah,22.5892,88.3103,69.8,78,20,0.0,IN,1709170167
202,sirte,31.2089,16.5887,59.88,74,0,11.72,LY,1709170167
203,albany,42.6001,-73.9662,42.64,89,100,15.01,US,1709170049
204,carnarvon,-24.8667,113.6333,77.41,71,0,19.17,AU,1709170168
205,fada,9.5667,8.3,79.34,42,25,1.54,NG,1709170168
206,jeju city,33.5097,126.5219,48.13,81,100,14.97,KR,1709170168
207,belyy yar,53.6039,91.3903,-5.91,84,100,2.24,RU,1709170169
208,sona,45.4388,10.8255,54.25,87,40,5.75,IT,1709170169
209,borger,52.9233,6.7931,43.79,83,66,15.03,NL,1709170169
210,iskateley,67.6803,53.1512,23.02,94,100,11.99,RU,1709170170
211,geraldton,-28.7667,114.6,77.41,65,8,17.27,AU,1709170170
212,yamada,39.4667,141.95,40.93,44,78,2.17,JP,1709170170
213,tazovsky,67.4667,78.7,9.66,97,98,0.98,RU,1709170171
214,san patricio,28.017,-97.5169,63.84,46,100,19.95,US,1709169909
215,sumbawa besar,-8.5,117.4333,84.88,69,62,3.11,ID,1709170172
216,lincoln city,44.9582,-124.0179,52.36,98,100,21.0,US,1709170172
217,at-bashi,41.1702,75.8106,9.72,84,100,2.62,KG,1709170172
218,richards bay,-28.783,32.0377,69.06,70,100,1.63,ZA,1709170173
219,chapada dos guimaraes,-15.4606,-55.7497,71.26,57,91,3.8,BR,1709170173
220,punta arenas,-53.15,-70.9167,53.71,76,75,23.02,CL,1709169989
221,hola,51.5377,23.1902,48.38,96,98,3.85,PL,1709170173
222,twon-brass,4.3151,6.2418,83.17,84,98,12.77,NG,1709170173
223,itaituba,-4.2761,-55.9836,73.98,98,98,2.77,BR,1709170174
224,adiake,5.2863,-3.304,80.17,86,100,7.36,CI,1709170174
225,cabo san lucas,22.8909,-109.9124,79.11,50,75,10.36,MX,1709170012
